v 0 9
v 1 9
v 2 9
v 3 1
v 4 1
v 5 9
v 6 1
v 7 1
v 8 9
v 9 9
v 10 1
v 11 1
v 12 9
v 13 1
v 14 1
v 15 9
v 16 1
v 17 1
v 18 9
v 19 9
v 20 9
v 21 1
v 22 1
v 23 9
v 24 9
v 25 1
v 26 1
v 27 9
v 28 1
v 29 1
e 0 1 0
e 1 2 0
e 1 3 0
e 1 4 0
e 2 5 0
e 2 6 0
e 2 7 0
e 3 5 0
e 3 6 0
e 4 16 0
e 5 8 0
e 6 15 0
e 7 20 0
e 8 9 0
e 8 10 0
e 8 11 0
e 9 12 0
e 9 13 0
e 9 14 0
e 10 16 0
e 10 25 0
e 11 12 0
e 12 15 0
e 12 16 0
e 12 17 0
e 13 18 0
e 13 26 0
e 14 15 0
e 15 18 0
e 16 17 0
e 16 18 0
e 16 19 0
e 16 20 0
e 17 18 0
e 17 19 0
e 17 25 0
e 17 28 0
e 17 29 0
e 18 19 0
e 19 20 0
e 19 21 0
e 19 22 0
e 20 23 0
e 21 25 0
e 21 26 0
e 22 23 0
e 23 24 0
e 23 25 0
e 23 26 0
e 24 27 0
e 24 28 0
e 24 29 0
e 25 28 0
e 26 28 0
e 27 29 0
